10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Waalhaven,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,near Den Haag,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Den Haag,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,near Den Haag,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,near Den Haag,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Waalhaven,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Waalhaven,, ,A1
10-MAY-1940,Douglas DC-3-194F,PH-AST,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-3-194F,PH-ASP,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-3-194D,PH-ARX,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-3-194B,PH-ALU,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-2-115L,PH-ALD,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-2-115E,PH-AKN,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Loosduinen,, ,A1
10-MAY-1940,Douglas DC-2-115E,PH-AKO,KLM,0,Amsterdam-Sc...,,,C1
10-MAY-1940,Douglas DC-2-115E,PH-AKP,KLM,0,Amsterdam-Sc...,, ,C1
10-MAY-1940,Douglas DC-2-115E,PH-AKK,KLM,0,Amsterdam-Sc...,,,C1
10-MAY-1940,Fokker F.VIIIa,951,Netherlands AF,0,Rotterdam-Wa...,, ,C1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,near Rotterdam,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Culemborg or...,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,Voorburg,, ,A1
10-MAY-1940,Junkers Ju-52/3m, ,German AF,,near Den Haag,, ,A1
14-MAY-1940,Savoia-Marchetti S.73P,OO-AGP,Sabena,0,Brussels-Har...,, ,O1
16-MAY-1940,Savoia-Marchetti SM-75,I-LUPI,Ala Littoria,8,Barcelona Ai...,, ,A1
20-MAY-1940,Junkers Ju-52/3m,CN+HJ,German AF,,Kjerringvatn...,, ,A1
21-MAY-1940,Fokker F.XXXVI,G-AFZR,Scottish Aviation,0,Glasgow-Pres...,,,A1
23-MAY-1940,Sabca Savoia-Marchetti S.73P,OO-AGS,Sabena,1,Arques,, ,C1
23-MAY-1940,Armstrong Whitworth AW.27 Ensign 1,G-ADSZ,BOAC,,Merville Air...,, ,A1
23-MAY-1940,Sabca Savoia-Marchetti S.73P,OO-AGZ,"Sabena, opf. RAF",0,Merville,, ,C1
23-MAY-1940,Armstrong Whitworth AW.27 Ensign,G-ADTA,Imperial Airways,0,Lympne,, ,A1
23-MAY-1940,Douglas DC-3-227B,OO-AUI,"Sabena, opf. RAF",1,near Arques,, ,C1
26-MAY-1940,Junkers Ju-52/3m, ,German AF,4,"Storfjellet,...",, ,A1
26-MAY-1940,Junkers Ju-52/3m,BA+HK,German AF,9,"Evenesdal, S...",, ,A1
26-MAY-1940,Junkers Ju-52/3m,CM+BU,German AF,4,Jordbrufjell...,, ,A1
26-MAY-1940,Junkers Ju-52/3m, ,German AF,15,"Amot, Osterd...",, ,A1
30-MAY-1940,Junkers Ju-52/3m, ,German AF,8,Skotten sete...,, ,C1
01-JUN-1940,Douglas R3D-1 (DC-5),1901,Douglas,4,El Segundo-M...,, ,A1
02-JUN-1940,Junkers Ju-52/3m,DC+SP,German AF,8,"Riksgränsen,...",, ,C1
14-JUN-1940,Junkers Ju-52/3mge,OH-ALL,Aero OY,9,near Keri Island ...,, ,C1
20-JUN-1940,Dewoitine D.338,F-ARTD,Air France,1,near Ouistreham,, ,C1
??-JUN-1940,Lockheed 14-H2 Super Electra,SP-BPM,LOT,,near Paris,, ,A1
??-JUN-1940,de Havilland DH.86B Express,G-AEWR,Railway,0,Bordeaux,, ,A1
??-JUN-1940,de Havilland DH.86A Express,G-AEFH,Railway,0,Bordeaux,, ,A1
07-JUL-1940,Dewoitine D-338,F-AQBA,Air France,4,Gulf of Tonkin,, ,C1
09-JUL-1940,Short Sunderland I,N6133,RAF,,near Sumburgh Hea...,, ,C1
16-JUL-1940,de Havilland DH.86 Express,AX841,Royal Navy,0,Lee-on-Solent,, ,A1
24-JUL-1940,Lockheed 14-H2 Super Electra,SP-BPK,LOT,,Bucharest-Ba...,, ,A1
??-JUL-1940,Ford 4-AT-E Tri-Motor,CF-AZB,White Pass Airways,0,"Whitehorse, BC",, ,O1
01-AUG-1940,Handley Page HP.42E,AS983,RAF,,Donibristle ...,, ,A1
07-AUG-1940,Handley Page HP.42E,AS981,RAF,,Moresby Park...,, ,A1
09-AUG-1940,Douglas DC-2-115E,D-AIAV,Deutsche Lufthansa,2,near Lämershagen,, ,A1
11-AUG-1940,de Havilland DH.91 Albatross,AX903,RAF,0,Reykjavík Do...,, ,A1
23-AUG-1940,Douglas DC-3-227,YR-PIF,LARES,11,near Risculita,, ,A1
31-AUG-1940,Douglas DC-3-313,NC21789,Pennsylvania-Central Airlines,25,near Lovettsville...,, ,A1
14-SEP-1940,Short L.17 Scylla,G-ACJJ,BOAC,0,Drem,, ,O1
19-SEP-1940,Ford 5-AT-D Tri-Motor,X5000,RAF,0,Limavady RAF...,, ,A1
21-SEP-1940,Douglas DC-3-194B,G-AGBC,BOAC,,Heston Airport,, ,A1
??-SEP-1940,Lockheed 14-H2 Super Electra,SP-BPN,Soviet AF,,near Riga,, ,A1
04-OCT-1940,Douglas DC-1-109,EC-AAE,Iberia,0,Málaga Airpo...,,,A1
04-OCT-1940,de Havilland DH.95 Flamingo,T5357,RAF,,unknown,, ,A1
06-OCT-1940,de Havilland DH.91 Albatross,G-AFDL,BOAC,0,near Pucklechurch...,, ,A1
10-OCT-1940,Dewoitine D.338,F-AQBJ,Air France,3,Carnotville,, ,A1
26-OCT-1940,Curtiss AT-32A Condor II,XY-AAI,CAMCO,0,Rangoon ?,, ,C1
26-OCT-1940,Junkers Ju-52/3mte,XXV,Eurasia,,near Kunming,, ,C1
29-OCT-1940,Douglas DC-2-221,39,CNAC,9,near Changyi,, ,C1
29-OCT-1940,Douglas DC-3-220,D-AAIH,Deutsche Lufthansa,2,Berlin-Tempe...,, ,A1
29-OCT-1940,Short Sunderland I,P9622,RAF,4,"near Wick, Scotland",, ,A1
30-OCT-1940,Junkers Ju-52/3m, ,German AF,6,Watzmannkar,, ,A1
04-NOV-1940,Douglas DC-3-197,NC16086,United Air Lines,10,"near Centerville, UT",, ,A1
04-NOV-1940,Junkers Ju-52/3mbe,CB-17,LAB,14,near Rincón del T...,, ,A1
08-NOV-1940,Junkers Ju-90A,D-AVMF,Deutsche Lufthansa,29,Brauna/Schön...,, ,A1
08-NOV-1940,Junkers Ju-52/3mg3e,PP-SPF,VASP,18,"Botafogo, Ri...",, ,A1
10-NOV-1940,Lockheed 14-N2 Super Electra,AX688,RAF,,Nairobi,, ,A1
12-NOV-1940,Short Sunderland,T9044,RAF,0,Pembroke Dock,, ,O1
24-NOV-1940,Douglas DC-3-194D,G-AGBI,BOAC,0,Whitchurch A...,, ,C1
24-NOV-1940,Armstrong Whitworth AW.27 Ensign II,G-ADTC,BOAC,0,Bristol-Whit...,, ,C1
26-NOV-1940,Fiat G.18,I-ELIO,Nucleo Comunicazioni Avio Linee,0,Milano-Linat...,, ,A1
27-NOV-1940,SNCAC (Farman) NC.223.4,F-AROA,Air France,7,near Cape Spartiv...,, ,C1
04-DEC-1940,Douglas DC-3A-197C,NC25678,United Air Lines,10,near Chicago Muni...,,,A1
04-DEC-1940,Ford 5-AT-B Tri-Motor,TI-51,TACA,,Puntarenas,, ,A1
06-DEC-1940,Handley Page HP.42E,AS982,RAF,0,Doncaster RA...,, ,O1
07-DEC-1940,Douglas C-33 (DC-2),36-78,USAAC,,Puntarenas,, ,A1
11-DEC-1940,Short Sunderland I,N9046,RAF,0,"Sullom Voe, ...",, ,A1
14-DEC-1940,Consolidated 16 Commodore,LV-RAB,SANA,,Puerto Nuevo...,, ,A1
20-DEC-1940,de Havilland DH.91 Albatross,G-AFDI,BOAC,0,Bristol-Whit...,, ,C1
24-DEC-1940,Junkers Ju-52/3m,CX-ABB,CAUSA,0,Buenos Aires...,, ,O1
30-DEC-1940,Junkers Ju-52/3m,XX,Eurasia,0,Chengtu (Che...,, ,C1
??-DEC-1940,Fiat G.18,I-ETRA,Nucleo Comunicazioni Avio Linee,0,,, ,A1
??-???-1940,Dewoitine D.338,F-AQBH,Air France,,Indochina,, ,A1
04-JAN-1941,Junkers Ju-52/3mg6e,.. + ..,German AF,1,Umbalkees Gl...,, ,A1
08-JAN-1941,Junkers Ju-52/3msa1,668,South African AF,15,near Mbeya,, ,A1
12-JAN-1941,Douglas DC-3A-197,NC16072,United Air Lines,0,Salt Lake Ci...,, ,O1
15-JAN-1941,Savoia-Marchetti SM-75C,I-BAYR,LATI,10,near Fernando de ...,, ,A1
17-JAN-1941,Savoia-Marchetti SM.75,I-LUME,Ala Littoria,0,Catania-Font...,, ,A1
18-JAN-1941,Junkers Ju-52/3mg3e,HA-JUA,Malert,12,near Nagyvárad (O...,, ,A1
19-JAN-1941,Lockheed 14-WF62 Super Electra,G-AFGR,BOAC,,El Fasher,, ,A1
20-JAN-1941,Ford 5-AT-D Tri-Motor,23,CNAC,5,near Jiangxi Prov...,, ,A1
23-JAN-1941,Douglas DC-3B-202,NC17315,TWA,2,near Saint Louis ...,, ,A1
31-JAN-1941,Douglas R2D-1 (DC-2),9622,US Navy,,San Diego-Mi...,, ,A1
06-FEB-1941,Lockheed 14-H2 Super Electra,CF-TCP,TCAL,12,near Armstrong Ai...,, ,A1
