Time,close
10:04:36,5084.8999
10:09:35,5108.7002
10:14:35,5102.7002
10:19:36,5101.7002
10:24:35,5106.2002
10:29:35,5106.2998
10:34:35,5109.2002
10:39:36,5104.2998
10:44:35,5098.1001
10:49:35,5091.1001
10:54:36,5091.5
10:59:35,5096.5
11:04:35,5101.6001
11:09:35,5099.2002
11:14:36,5100.0
11:19:36,5103.7002
11:24:35,5105.0
11:29:35,5099.6001
11:34:36,5102.2002
11:39:36,5101.2998
11:44:36,5097.7002
11:49:35,5102.2998
11:54:36,5097.1001
11:59:36,5091.8999
12:04:35,5098.0
12:09:35,5101.2998
12:14:36,5102.2998
12:19:36,5097.2998
12:24:35,5101.1001
12:29:35,5097.7002
12:34:36,5104.5
12:39:35,5099.7998
12:44:35,5105.7998
12:49:35,5112.7002
12:54:36,5119.3999
12:59:35,5120.2002
13:04:35,5117.3999
13:09:35,5113.8999
13:14:36,5117.7002
13:19:35,5116.3999
13:24:35,5114.7998
13:29:35,5111.2002
13:34:35,5112.6001
13:39:36,5120.1001
13:44:36,5111.7998
13:49:36,5109.8999
13:54:35,5102.7002
13:59:36,5104.6001
14:04:36,5104.7002
14:09:36,5103.1001
14:14:35,5096.7998
14:19:35,5096.8999
14:24:36,5093.8999
14:29:36,5093.2998
14:34:35,5085.2002
14:39:35,5080.2998
14:44:35,5082.2998
14:49:35,5085.2002
14:54:36,5087.7002
14:59:36,5088.8999
15:04:35,5086.8999
15:09:36,5087.1001
15:14:35,5093.0
15:19:35,5088.8999
15:24:35,5090.6001
15:29:45,5094.7002
15:34:36,5096.6001
15:39:35,5091.7002
15:44:36,5092.3999
15:49:37,5095.0
15:54:35,5091.1001
15:59:36,5092.7998
16:00:00,5094.2998
10:04:36,5096.1001
10:09:36,5089.5
10:14:35,5091.1001
10:19:36,5089.2002
10:24:36,5085.2002
10:29:35,5080.8999
10:34:40,5077.3999
10:39:36,5076.3999
10:44:35,5071.7998
10:49:35,5070.0
10:54:36,5068.3999
10:59:35,5070.2002
11:04:35,5066.7998
11:09:36,5066.5
11:14:35,5073.6001
11:19:35,5080.1001
11:24:35,5077.2002
11:29:56,5076.2002
11:34:35,5073.2002
11:39:35,5070.7998
11:44:35,5066.6001
11:49:36,5064.3999
11:54:35,5064.0
11:59:35,5060.7998
12:04:35,5065.0
12:09:36,5067.6001
12:14:36,5067.1001
12:19:35,5061.7998
12:24:36,5064.1001
12:29:35,5064.2998
12:34:54,5065.2002
12:39:35,5065.3999
